"","country","both","males","females"
"1","Algeria",33.6,"26.9","40.2"
"2","American Samoa",53.4,"49.3","57.5"
"3","Andorra",38.4,"36.8","40.0"
"4","Argentina",41.6,"37.6","45.3"
"5","Armenia",22.6,"23.3","22.1"
"6","Australia",30.4,"27.0","33.6"
"7","Austria",30.1,"26.4","33.6"
"8","Bahamas",43.3,"30.0","55.6"
"9","Bangladesh",27.8,"16.1","39.5"
"10","Barbados",42.9,"29.3","54.9"
"11","Belarus",14.1,"13.7","14.4"
"12","Belgium",35.7,"30.6","40.6"
"13","Benin",15.9,"13.6","18.1"
"14","Bermuda",26.2,"20.3","32.1"
"15","Bhutan",23,"17.7","29.5"
"16","Bosnia and Herzegovina",25.5,"22.8","28.0"
"17","Botswana",21.7,"17.1","26.3"
"18","Brazil",47,"40.4","53.3"
"19","British Virgin Islands",27.4,"19.1","35.7"
"20","Brunei Darussalam",27.3,"21.2","33.9"
"21","Bulgaria",38.6,"35.6","41.4"
"22","Burkina Faso",20.3,"17.7","22.7"
"23","Cabo Verde",19.7,"14.1","25.0"
"24","Cambodia",10.5,"9.8","11.1"
"25","Cameroon",28.5,"21.8","35.2"
"26","Canada",28.6,"25.7","31.4"
"27","Cayman Islands",29.1,"20.2","38.1"
"28","Central African Republic",14.3,"12.6","15.9"
"29","Chad",23.3,"19.6","26.9"
"30","Chile",26.6,"24.4","28.6"
"31","China",14.1,"16.0","12.2"
"32","Colombia",44,"38.8","48.9"
"33","Comoros",14.3,"9.6","19.0"
"34","Congo",28,"24.8","31.3"
"35","Cook Islands",18.5,"9.8","27.2"
"36","Costa Rica",46.1,"37.7","54.3"
"37","Cote d'Ivoire",33.1,"29.1","37.3"
"38","Croatia",31.1,"25.9","35.8"
"39","Cuba",36.9,"30.9","42.8"
"40","Cyprus",44.4,"38.4","50.5"
"41","Czech Republic",31.1,"28.1","33.9"
"42","Democratic Republic of the Congo",23.8,"20.8","26.8"
"43","Denmark",28.5,"25.7","31.2"
"44","Dominica",21.6,"13.4","29.8"
"45","Dominican Republic",39,"34.4","43.4"
"46","Ecuador",27.2,"24.6","29.7"
"47","Egypt",31,"23.2","38.8"
"48","Eritrea",22.4,"13.8","30.7"
"49","Estonia",32,"28.9","34.6"
"50","Ethiopia",14.9,"11.3","18.3"
"51","Fiji",17.4,"10.8","24.1"
"52","Finland",16.6,"17.2","16.0"
"53","France",29.3,"24.3","34.0"
"54","French Polynesia",17.9,"13.5","22.5"
"55","Gabon",25.3,"17.7","33.2"
"56","Gambia",21.1,"16.0","25.9"
"57","Georgia",18,"17.3","18.6"
"58","Germany",42.2,"40.2","44.1"
"59","Ghana",21.8,"18.6","24.8"
"60","Greece",37.7,"33.9","41.1"
"61","Grenada",28.7,"21.9","35.4"
"62","Guatemala",37.1,"37.1","37.1"
"63","Guinea",14.5,"10.6","18.4"
"64","Hungary",38.5,"33.1","43.3"
"65","India",34,"24.7","43.9"
"66","Indonesia",22.6,"23.5","21.7"
"67","Iran (Islamic Republic of)",33.2,"23.1","43.4"
"68","Iraq",52,"39.5","64.6"
"69","Ireland",32.7,"28.3","37.1"
"70","Italy",41.4,"36.2","46.2"
"71","Jamaica",32.6,"28.4","36.6"
"72","Japan",35.5,"33.8","37.0"
"73","Jordan",11.9,"10.3","13.5"
"74","Kazakhstan",27.5,"26.1","28.7"
"75","Kenya",15.4,"13.9","16.9"
"76","Kiribati",40.4,"34.5","45.8"
"77","Kuwait",67,"61.3","74.6"
"78","Kyrgyzstan",13.9,"10.9","16.7"
"79","Lao People's Democratic Republic",16.3,"11.7","20.6"
"80","Latvia",29.5,"25.4","32.9"
"81","Lebanon",36.4,"39.8","33.0"
"82","Lesotho",6.3,"6.5","6.0"
"83","Liberia",25.1,"21.7","28.5"
"84","Libya",36.4,"31.2","41.5"
"85","Lithuania",26.5,"23.2","29.2"
"86","Luxembourg",28.4,"26.4","30.4"
"87","Madagascar",17.2,"12.8","21.4"
"88","Malawi",15.6,"13.0","18.2"
"89","Malaysia",38.8,"34.6","42.8"
"90","Maldives",30.3,"25.8","34.8"
"91","Mali",40.4,"33.7","47.1"
"92","Malta",41.7,"36.2","47.2"
"93","Marshall Islands",43.5,"37.0","50.0"
"94","Mauritania",41.3,"36.5","46.1"
"95","Mauritius",29.8,"27.6","31.8"
"96","Mexico",28.9,"25.5","32.2"
"97","Micronesia (Federated States of)",36.6,"32.9","40.5"
"98","Mongolia",18.6,"17.8","19.4"
"99","Morocco",26.2,"20.7","31.4"
"100","Mozambique",5.6,"5.0","6.0"
"101","Myanmar",10.7,"8.1","13.1"
"102","Namibia",33.4,"28.9","37.4"
"103","Nauru",42.1,"34.9","49.4"
"104","Nepal",13.4,"12.0","14.6"
"105","Netherlands",27.2,"25.3","29.0"
"106","New Zealand",42.4,"39.3","45.3"
"107","Niger",22.4,"19.7","25.0"
"108","Nigeria",27.1,"24.7","29.6"
"109","Niue",6.9,"7.8","6.0"
"110","Norway",31.7,"29.6","33.8"
"111","Oman",32.9,"30.0","40.2"
"112","Pakistan",33.7,"24.4","43.3"
"113","Palau",40.9,"28.3","53.5"
"114","Papua New Guinea",14.8,"11.4","18.2"
"115","Paraguay",37.4,"38.1","36.8"
"116","Philippines",39.7,"30.1","49.1"
"117","Poland",32.5,"31.5","33.4"
"118","Portugal",43.4,"37.5","48.5"
"119","Qatar",36.8,"33.2","48.7"
"120","Republic of Korea",35.4,"29.5","41.0"
"121","Republic of Moldova",11.5,"12.1","10.9"
"122","Romania",35.4,"32.1","38.3"
"123","Russian Federation",17.1,"16.6","17.6"
"124","Rwanda",14.6,"11.0","17.6"
"125","Saint Kitts and Nevis",32.2,"24.1","40.4"
"126","Saint Lucia",39.8,"26.6","52.1"
"127","Samoa",12.6,"8.2","17.2"
"128","Sao Tome and Principe",15.5,"9.8","21.0"
"129","Saudi Arabia",53.1,"44.9","65.1"
"130","Senegal",23.1,"17.6","28.1"
"131","Serbia",39.5,"34.8","43.8"
"132","Seychelles",18.8,"17.7","20.0"
"133","Sierra Leone",14.3,"10.1","18.3"
"134","Singapore",36.5,"34.3","38.6"
"135","Slovakia",34.9,"31.1","38.4"
"136","Slovenia",32.2,"27.7","36.6"
"137","Solomon Islands",18.2,"13.3","23.2"
"138","South Africa",38.2,"28.5","47.3"
"139","Spain",26.8,"22.9","30.5"
"140","Sri Lanka",28.9,"20.2","36.7"
"141","State of Palestine",40.5,"32.4","48.8"
"142","Suriname",44.4,"38.1","50.6"
"143","Swaziland",28,"23.8","32.1"
"144","Sweden",23.1,"21.5","24.7"
"145","Switzerland",23.7,"21.7","25.7"
"146","Tajikistan",29.3,"19.9","38.7"
"147","Thailand",24.6,"21.8","27.2"
"148","Timor-Leste",17.8,"10.3","25.5"
"149","Togo",9.8,"9.2","10.3"
"150","Tokelau",11.1,"4.5","17.7"
"151","Tonga",17.4,"8.5","25.9"
"152","Trinidad and Tobago",38.2,"27.2","48.6"
"153","Tunisia",30.4,"26.4","34.1"
"154","Turkey",30.6,"21.7","38.8"
"155","Tuvalu",27.3,"17.5","37.2"
"156","Uganda",5.5,"5.2","5.8"
"157","Ukraine",19.6,"18.7","20.4"
"158","United Arab Emirates",41.4,"39.0","49.3"
"159","United Kingdom",35.9,"31.5","40.0"
"160","United Republic of Tanzania",6.5,"5.8","7.1"
"161","United States of America",40,"31.7","48.0"
"162","Uruguay",22.4,"18.7","25.7"
"163","Uzbekistan",19.1,"13.3","24.4"
"164","Vanuatu",8,"7.2","8.8"
"165","Venezuela (Bolivarian Republic of)",31.4,"29.5","33.3"
"166","Viet Nam",25.4,"19.9","30.6"
"167","Zambia",22.1,"19.1","25.0"
"168","Zimbabwe",26.8,"22.8","30.7"
